areaID,description
retailer.com,TBD
sponsorships & partnerships,TBD
technology strategy,TBD
loyalty programs,TBD
seo,TBD
data sciences (ai/ml),TBD
communications operating model,TBD
merchandise,TBD
sales team,TBD
digital transformation,TBD
research and diagnostic,TBD
biddable media execution,TBD
social,TBD
events,TBD
corporate strategy,TBD
campaign & performance reporting,TBD
content strategy,TBD
financial & corporate,TBD
systems implementation,TBD
product management,TBD
staff engagement,TBD
commerce measurement & optimisation,TBD
editing,TBD
barter,TBD
omnichannel commerce strategy,TBD
data management,TBD
media vendor,TBD
fulfilment,TBD
content & experience management,TBD
process automation,TBD
emerging tech,TBD
internal,TBD
owned digital platforms,TBD
data visualisation & reporting,TBD
commerce operating model,TBD
attribution modelling & reporting,TBD
influencer/kol,TBD
change management,TBD
media planning,TBD
non-biddable media execution,TBD
partner distribution,TBD
brand architecture,TBD
governance and tracking,TBD
invoices / receipts,TBD
crm,TBD
advertising,TBD
marketing automation operations,TBD
service design,TBD
commerce platforms,TBD
purpose,TBD
analysis and optimisation,TBD
in-store design,TBD
online own store,TBD
capability building,TBD
customer data management,TBD
b2b crm,TBD
company operating model & culture,TBD
b2b,TBD
display merchandising,TBD
dynamic creative optimisation,TBD
packaging,TBD
media relations,TBD
merchandising content,TBD
earned distribution,TBD
third party retailers,TBD
program management,TBD
marketplaces,TBD
ad tech,TBD
naming,TBD
ecommerce activation,TBD
technology enablement,TBD
experience operating model,TBD
insights,TBD
customer journey,TBD
employee journey,TBD
retail media,TBD
"specialty (travel retail, pharmacy, general trade)",TBD
voice,TBD
public affairs,TBD
generational,TBD
store installation,TBD
technology architecture,TBD
brand strategy,TBD
concept & articulation,TBD
portfolio strategy,TBD
creative ai,TBD
multicultural,TBD
product design,TBD
market research,TBD
own store,TBD
crisis management,TBD
asset production,TBD
social commerce,TBD
ecommerce strategy,TBD
transcreation,TBD
media strategy,TBD
go-to-market strategy,TBD
cloud migration,TBD
trade management,TBD
c-suite visibility,TBD
workflow and implementation,TBD
commerce platforms operations,TBD
notifications,TBD
product roadmap,TBD
brand expression,TBD
creative strategy,TBD
reputation management,TBD
ecommerce platforms,TBD
content investment and management,TBD
innovation,TBD
physical space,TBD
asset planning,TBD
experience optimisation,TBD
advertising operations,TBD
grassroots,TBD
platform maintenance and support,TBD
physical / experiential activation,TBD
capability development,TBD
rewards and promotions,TBD
web and app analytics,TBD
vendor selection,TBD
customer care,TBD
product build,TBD
a/b & multivariate testing,TBD
architecture,TBD
sustainability strategy,TBD
