id,name,opcoName
1,141 Première Sports & Entertainment,Specialist Communications & PR
2,Acceleration,GroupM
3,Adgistics,WPP
4,AKQA,AKQA Group
5,Aleph,AKQA Group
6,amp,Landor & Fitch
7,aMVG (Aerodeon),GroupM
8,Anzu.io,WPP Ventures
9,AQuest,WPP
10,ArcTouch,AKQA Group
11,AxiCom,BCW Group
12,Barrows,Specialist Communications & PR
13,Barton Deakin,WPP
14,BAV Group,VMLY&R
15,BCW,BCW Group
16,BDG architecture + design,Specialist Communications & PR
17,Benenson Strategy Group,Specialist Communications & PR
18,Berlin Cameron,VMLY&R
19,Blue State,Specialist Communications & PR
20,Bottle Rocket,Ogilvy
21,Bower House Digital,Ogilvy
22,BPG Group,Specialist Communications & PR
23,Breakwater Strategy,Specialist Communications & PR
24,Buchanan Communications,Specialist Communications & PR
25,Cannings,WPP
26,Cannings Purple,WPP
27,Cartwright,AKQA Group
28,Catalyst,GroupM
29,Cavalry,VMLY&R
30,CBA,Ogilvy
31,Cheetham Bell,GroupM
32,choreograph,GroupM
33,Clarion Communications,Specialist Communications & PR
34,CMI Media Group,Specialist Communications & PR
35,Code,GroupM
36,Coley Porter Bell,Ogilvy
37,Compas,Specialist Communications & PR
38,Contract Advertising,Wunderman Thompson
39,Corebiz,VMLY&R
40,Data Intelligence A/S,GroupM
41,DAVID,Ogilvy
42,Dawson,VMLY&R
43,deepblue networks,Scholz & Friends Family
44,Deeplocal,Specialist Communications & PR
45,Design Bridge and Partners,WPP
46,Designworks,WPP
47,"Dewey Square Group, LLC",Hill+Knowlton Strategies
48,Diff,Wunderman Thompson
49,Digital PR,Hill+Knowlton Strategies
50,Direct Impact,BCW Group
51,DOOH,GroupM
52,dti digital,Specialist Communications & PR
53,Eicoff,Ogilvy
54,EssenceMediacom,GroupM
55,Etcom,WPP
56,Evo,WPP
57,F.biz,Specialist Communications & PR
58,Fast Solutions,WPP
59,Fēnom Digital,Wunderman Thompson
60,FGS Global,Specialist Communications & PR
61,Finecast,GroupM
62,Folk Wunderman Thompson,Wunderman Thompson
63,Foster,Ogilvy
64,Fusion Digital Pty Ltd,WPP
65,Gain Theory,Wunderman Thompson
66,GCI Canada,BCW Group
67,GCI Health,BCW Group
68,gkk dialog,Specialist Communications & PR
69,GOAT,GroupM
70,Goodfuse,BCW Group
71,Gorilla,Wunderman Thompson
72,Gramercy Park Studios,Hogarth
73,Greenhouse,GroupM
74,Grey,AKQA Group
75,Grey Consulting,AKQA Group
76,Grey Easycom,AKQA Group
77,GTB,VMLY&R
78,H1.cz,GroupM
79,Hawker Britton,WPP
80,Haworth,GroupM
81,Haylix,WPP
82,HighCo,Specialist Communications & PR
83,Hirschen Group,Wunderman Thompson
84,Houston,WPP
85,Howorth,WPP
86,Hudson Rouge,WPP
87,HZ,BCW Group
88,i-Cherry,Wunderman Thompson
89,iconmobile,Specialist Communications & PR
90,Ideal,Hill+Knowlton Strategies
91,INCA,GroupM
92,InDomo,Ogilvy
93,INGO,AKQA Group;Ogilvy
94,Institute for Real Growth,WPP
95,Invidi,WPP Ventures
96,Johannes Leonardo,Specialist Communications & PR
97,john st.,Ogilvy
98,Jüssi,Ogilvy
99,Kantar,WPP
100,Keyade,GroupM
101,Kinetic,GroupM
102,KingEclient,VMLY&R
103,KOAN,GroupM
104,LDV United,Specialist Communications & PR
105,Made Thought,AKQA Group
106,Makerhouse,Hogarth
107,Mando,Specialist Communications & PR
108,ManvsMachine,Landor & Fitch
109,Map,AKQA Group
110,Marketdata,VMLY&R
111,Mediapro,Specialist Communications & PR
112,Metro Production Group (MPG),Specialist Communications & PR
113,MetropolitanRepublic Integrated Communications,Specialist Communications & PR
114,Midas Exchange,GroupM
115,Millipede,AKQA Group
116,Mindshare,GroupM
117,Mindshare Change,GroupM
118,Mindshare Content+,GroupM
119,Mindshare Outcomes,GroupM
120,Mindshare Shop+,GroupM
121,Mininglamp,WPP Ventures
122,MJM,Specialist Communications & PR
123,Molecule Consultancy,VMLY&R
124,MONDAY,VMLY&R
125,Motion Content Group,GroupM
126,MRC,WPP Ventures
127,mSix&Partners,GroupM
128,Mutato,VMLY&R
129,Neo Media World,GroupM
130,Newcraft,Wunderman Thompson
131,Obviously,VMLY&R
132,Ogilvy Consulting,Ogilvy
133,Ogilvy Government Relations,Specialist Communications & PR
134,Ogilvy Health,Ogilvy
135,Ogilvy PR,WPP
136,Parker & Partners,WPP
137,PARx Solutions,WPP Ventures
138,Passport Brand Design,VMLY&R
139,Peclers Paris,Specialist Communications & PR
140,Pennywise,Ogilvy
141,pep,VMLY&R
142,Pivot Integrated Communications,BCW Group
143,PLAY Communication,GroupM
144,plista,GroupM
145,PostVisual,Wunderman Thompson
146,Potato,AKQA Group
147,Prime Policy Group,BCW Group
148,Prism Sport + Entertainment,Wunderman Thompson
149,Proto,Specialist Communications & PR
150,PSB Insights,Specialist Communications & PR
151,Public Strategies Inc,Hill+Knowlton Strategies
152,PulPac,WPP
153,Pulse,WPP
154,Quasar,GroupM
155,Red Cell,VMLY&R
156,RessourcenReich,Scholz & Friends Family
157,RPCA,Hill+Knowlton Strategies
158,Sandtable,GroupM
159,Santo,Wunderman Thompson
160,Satalia,Wunderman Thompson
161,Scholz & Friends,VMLY&R
162,Señora Rushmore,Specialist Communications & PR
163,SensioGrey,AKQA Group
164,Set Creative,Specialist Communications & PR
165,SJR,Specialist Communications & PR
166,Smollan,Specialist Communications & PR
167,Social.Lab,Ogilvy
168,Soho Square Athens,Ogilvy
169,Spafax,Specialist Communications & PR
170,Squad,WPP
171,Subvrsive,VMLY&R
172,Swift,Wunderman Thompson
173,SYZYGY GROUP,Specialist Communications & PR
174,Tank,AKQA Group
175,tattoo,VMLY&R
176,TAXI,VMLY&R
177,Techsys Digital,Specialist Communications & PR
178,The Brand Agency,WPP
179,The Brand Power Company,Specialist Communications & PR
180,The Cocktail,Wunderman Thompson
181,The Factuary,WPP
182,The Food Group,Specialist Communications & PR
183,The Glitch,VMLY&R
184,The Hardy Boys,Wunderman Thompson
185,The Lacek Group,Ogilvy
186,The Mighty,WPP Ventures
187,The Online Research Unit,WPP
188,The Reputations Agency,Wunderman Thompson
189,The&Partnership,WPP
190,thjnk,Specialist Communications & PR
191,TMARC,AKQA Group
192,Townhouse,AKQA Group
193,Try,Wunderman Thompson
194,TwentyFive,GroupM
195,Two Circles,Specialist Communications & PR
196,Uhub,WPP
197,Universal Design Studio,AKQA Group
198,UniWorld Group,Specialist Communications & PR
199,Velvet Consulting,Wunderman Thompson
200,Verticurl,Ogilvy
201,VICE,WPP Ventures
202,Village Marketing,Wunderman Thompson
203,VINYL I,AKQA Group
204,VMLY&R Commerce,VMLY&R
205,VMLY&Rx,VMLY&R
206,Wavemaker,GroupM
207,Wavemaker Commerce,GroupM
208,Wavemaker Content,GroupM
209,whiteGREY,AKQA Group
210,Wing,AKQA Group
211,Within,WPP Ventures
212,WPP Government & Public Sector Practice,WPP
213,WPP Scangroup,Specialist Communications & PR
214,WPP Sports Practice,WPP
215,WPP@CP,WPP
216,Wunderman Thompson Brand & Customer Experience,Wunderman Thompson
217,Wunderman Thompson Commerce,Wunderman Thompson
218,Wunderman Thompson Communications,Wunderman Thompson
219,Wunderman Thompson Consulting,Wunderman Thompson
220,Wunderman Thompson CRM,Wunderman Thompson
221,Wunderman Thompson Data,Wunderman Thompson
222,Wunderman Thompson Health,Wunderman Thompson
223,Wunderman Thompson Studios,Wunderman Thompson
224,Wunderman Thompson Technology,Wunderman Thompson
225,Xaxis,GroupM
226,XumaK,Wunderman Thompson
227,Yellow Edge,WPP
228,Yonder Media,GroupM
229,Zubi,Specialist Communications & PR
