companyName,areaName
141 Première Sports & Entertainment,events
141 Première Sports & Entertainment,barter
141 Première Sports & Entertainment,sponsorships & partnerships
Acceleration,ad tech
Acceleration,systems implementation
Acceleration,advertising operations
Acceleration,web and app analytics
Acceleration,platform maintenance and support
Acceleration,digital transformation
Acceleration,data sciences (ai/ml)
Acceleration,data management
Acceleration,technology architecture
Acceleration,technology strategy
Acceleration,change management
Acceleration,technology enablement
Acceleration,cloud migration
Acceleration,biddable media execution
Adgistics,program management
Adgistics,data management
Adgistics,internal
Adgistics,workflow and implementation
Adgistics,asset production
Adgistics,platform maintenance and support
Adgistics,brand expression
Adgistics,product management
Adgistics,cloud migration
Adgistics,systems implementation
Adgistics,data visualisation & reporting
Adgistics,social
Adgistics,content & experience management
Adgistics,governance and tracking
Adgistics,marketing automation operations
Adgistics,process automation
Adgistics,editing
Adgistics,product roadmap
Adgistics,technology enablement
AKQA,ecommerce activation
AKQA,program management
AKQA,naming
AKQA,influencer/kol
AKQA,voice
AKQA,advertising operations
AKQA,physical space
AKQA,commerce platforms
AKQA,dynamic creative optimisation
AKQA,market research
AKQA,employee journey
AKQA,data management
AKQA,earned distribution
AKQA,ecommerce platforms
AKQA,purpose
AKQA,insights
AKQA,brand architecture
AKQA,customer journey
AKQA,service design
AKQA,campaign & performance reporting
AKQA,analysis and optimisation
AKQA,architecture
AKQA,asset production
AKQA,multicultural
AKQA,concept & articulation
AKQA,commerce measurement & optimisation
AKQA,platform maintenance and support
AKQA,web and app analytics
AKQA,brand expression
AKQA,brand strategy
AKQA,technology architecture
AKQA,in-store design
AKQA,online own store
AKQA,content strategy
AKQA,generational
AKQA,portfolio strategy
AKQA,biddable media execution
AKQA,technology strategy
AKQA,advertising
AKQA,systems implementation
AKQA,notifications
AKQA,customer data management
AKQA,asset planning
AKQA,emerging tech
AKQA,data visualisation & reporting
AKQA,non-biddable media execution
AKQA,owned digital platforms
AKQA,media planning
AKQA,social
AKQA,a/b & multivariate testing
AKQA,ecommerce strategy
AKQA,creative strategy
AKQA,media strategy
AKQA,innovation
AKQA,media vendor
AKQA,loyalty programs
AKQA,physical / experiential activation
AKQA,content & experience management
AKQA,corporate strategy
AKQA,research and diagnostic
AKQA,retailer.com
AKQA,seo
AKQA,ad tech
AKQA,product roadmap
AKQA,experience optimisation
AKQA,vendor selection
AKQA,digital transformation
AKQA,data sciences (ai/ml)
AKQA,events
AKQA,attribution modelling & reporting
Anzu.io,emerging tech
Anzu.io,ad tech
AQuest,voice
AQuest,editing
AQuest,creative ai
AQuest,concept & articulation
AQuest,emerging tech
AQuest,social
AQuest,content strategy
ArcTouch,ecommerce activation
ArcTouch,voice
ArcTouch,ecommerce platforms
ArcTouch,service design
ArcTouch,web and app analytics
ArcTouch,asset production
ArcTouch,platform maintenance and support
ArcTouch,technology architecture
ArcTouch,product management
ArcTouch,content strategy
ArcTouch,product design
ArcTouch,cloud migration
ArcTouch,systems implementation
ArcTouch,emerging tech
ArcTouch,product build
ArcTouch,content & experience management
ArcTouch,ecommerce strategy
ArcTouch,technology strategy
ArcTouch,innovation
ArcTouch,editing
ArcTouch,product roadmap
ArcTouch,data sciences (ai/ml)
ArcTouch,technology enablement
AxiCom,influencer/kol
AxiCom,c-suite visibility
AxiCom,market research
AxiCom,employee journey
AxiCom,earned distribution
AxiCom,internal
AxiCom,reputation management
AxiCom,insights
AxiCom,workflow and implementation
AxiCom,campaign & performance reporting
AxiCom,media relations
AxiCom,analysis and optimisation
AxiCom,capability building
AxiCom,asset production
AxiCom,multicultural
AxiCom,concept & articulation
AxiCom,change management
AxiCom,generational
AxiCom,content strategy
AxiCom,crisis management
AxiCom,advertising
AxiCom,financial & corporate
AxiCom,asset planning
AxiCom,data visualisation & reporting
AxiCom,media planning
AxiCom,social
AxiCom,media strategy
AxiCom,creative strategy
AxiCom,research and diagnostic
AxiCom,editing
AxiCom,transcreation
AxiCom,b2b
AxiCom,events
Barrows,retailer.com
Barrows,display merchandising
Barrows,retail media
Barrows,commerce platforms operations
Barrows,store installation
Barrows,omnichannel commerce strategy
Barrows,product build
Barrows,in-store design
Barrows,physical / experiential activation
Barrows,"specialty (travel retail, pharmacy, general trade)"
Barrows,product design
Barrows,own store
BAV Group,research and diagnostic
BAV Group,go-to-market strategy
BAV Group,customer journey
BAV Group,influencer/kol
BAV Group,concept & articulation
BAV Group,market research
BAV Group,brand architecture
BAV Group,sponsorships & partnerships
BAV Group,brand strategy
BAV Group,purpose
BAV Group,employee journey
BAV Group,omnichannel commerce strategy
BAV Group,creative strategy
BAV Group,brand expression
BAV Group,portfolio strategy
BAV Group,governance and tracking
BAV Group,corporate strategy
BAV Group,insights
BCW,influencer/kol
BCW,c-suite visibility
BCW,employee journey
BCW,communications operating model
BCW,earned distribution
BCW,internal
BCW,sponsorships & partnerships
BCW,reputation management
BCW,insights
BCW,workflow and implementation
BCW,customer journey
BCW,campaign & performance reporting
BCW,analysis and optimisation
BCW,capability building
BCW,media relations
BCW,multicultural
BCW,concept & articulation
BCW,sustainability strategy
BCW,brand expression
BCW,brand strategy
BCW,public affairs
BCW,change management
BCW,generational
BCW,content strategy
BCW,crisis management
BCW,grassroots
BCW,financial & corporate
BCW,social
BCW,owned digital platforms
BCW,purpose
BCW,creative strategy
BCW,media strategy
BCW,social commerce
BCW,research and diagnostic
BCW,b2b
BDG architecture + design,staff engagement
BDG architecture + design,physical space
Benenson Strategy Group,research and diagnostic
Benenson Strategy Group,campaign & performance reporting
Benenson Strategy Group,corporate strategy
Benenson Strategy Group,financial & corporate
Benenson Strategy Group,experience optimisation
Benenson Strategy Group,multicultural
Benenson Strategy Group,market research
Benenson Strategy Group,omnichannel commerce strategy
Benenson Strategy Group,portfolio strategy
Benenson Strategy Group,crisis management
Benenson Strategy Group,purpose
Benenson Strategy Group,internal
Benenson Strategy Group,brand strategy
Benenson Strategy Group,generational
Benenson Strategy Group,governance and tracking
Benenson Strategy Group,reputation management
Benenson Strategy Group,insights
Berlin Cameron,advertising
Berlin Cameron,naming
Berlin Cameron,editing
Berlin Cameron,media relations
Berlin Cameron,asset production
Berlin Cameron,concept & articulation
Berlin Cameron,transcreation
Berlin Cameron,market research
Berlin Cameron,brand architecture
Berlin Cameron,sponsorships & partnerships
